mc_number,company_name,state,decision_date,register_date,is_new_mc,usdot_status,insurance_link,insurance_expiration,safety_rating,physical_address,mailing_address,phone,power_units,drivers,oos_percent_vehicle,oos_percent_driver,oos_percent_hazmat,crash_fatal,crash_injury,crash_tow,crash_total
MC-1352703 -C,ONTIME EXPRESS LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3779915&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"8235 NE MARTIN LUTHER KING JR BLVD PORTLAND, OR   97211","8235 NE MARTIN LUTHER KING JK PORTLAND, OR   97211",(971) 274-9516,7,11,44.4%,0%,%,0,0,0,0
MC-1484577 -C,DAT TRUCKING LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3972109&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"337 SE MALHUER ST BOARDMAN, OR   97818","P O BOX 371 BOARDMAN, OR   97818",(541) 969-7893,1,1,50%,0%,%,0,0,0,0
MC-1534473 -C,MUSEUM ON WHEELS LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4050067&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"10595 SE MATHER RD CLACKAMAS, OR   97015","3738 WINDMAKER WAY JACKSONVILLE, FL   32224",,1,1,50%,0%,%,0,0,0,0
MC-1581003 -C,WM EXPRESS DELIVERIES LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4129478&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"10400 SE COOK CT UNIT 51 PORTLAND, OR   97222","10400 SE COOK CT UNIT 51 PORTLAND, OR   97222",(503) 757-8974,1,1,0%,0%,%,0,0,0,0
MC-1626465 -C,JSM LOGISTICS LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4211641&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"61087 AMBASSADOR DR BEND, OR   97702","61087 AMBASSADOR DR BEND, OR   97702",(541) 419-4446,1,1,100%,0%,%,0,0,0,0
MC-1694927 -C,ROUTEONE HAULING INC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4338664&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"6902 SE LAKE RD STE B100 PORTLAND, OR   97267","5331 S MACADAM AVE S 258 P1129 PORTLAND, OR   97239-3871",(503) 749-5055,1,2,100%,0%,%,0,0,0,0
MC-856506,DARRICK J DIVINE,OR,2025-06-24,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2475993&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"16117 HWY 101 S #33 BROOKINGS, OR   97415","2370 N BONNEYVIEW REDDING, CA   96003",(541) 821-8292,1,1,0%,0%,%,0,0,0,0
MC-1735651 -C,4T'S TRANSIT LLC,OR,2025-06-03,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4416413&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"4815 SURVEYOR AVE NE SALEM, OR   97305","4815 SURVEYOR AVE NE SALEM, OR   97305-4147",(503) 980-5510,1,1,0%,0%,0%,0,0,0,0
MC-1283967 -C,SPADA LOGISTICS LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3685974&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1501 N HAYDEN ISLAND DR UNIT 106 PORTLAND, OR   97217","1501 N HAYDEN ISLAND DR UNIT 106 PORTLAND, OR   97217-8202",(503) 422-3755,2,2,0%,25%,%,0,0,0,0
MC-1416127 -C,HORA FREIGHT LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3869364&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"14147 SE ALTA VISTA DR HAPPY VALLEY, OR   97086","14147 SE ALTA VISTA DR HAPPY VALLEY, OR   97086",(415) 471-0278,6,6,36.4%,0%,%,0,0,0,0
MC-1429782 -C,RSF INSTALLATIONS LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3889906&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"13196 SW BRIANNE WAY TIGARD, OR   97223","13196 SW BRIANNE WAY TIGARD, OR   97223",(458) 312-3900,7,7,60%,8.3%,%,0,0,0,0
MC-1666564 -C,JANDM TRUCKING INC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4285356&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"9874 GOLF CLUB RD SE UNIT 70 STAYTON, OR   97383","9874 GOLF CLUB RD SE UNIT 70 STAYTON, OR   97383-1079",(503) 507-7781,1,1,0%,0%,0%,0,0,0,0
MC-1680371 -C,PALM TRUCKING LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4284424&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"78594 PARKSIDE RD BOARDMAN, OR   97818-9670","78594 PARKSIDE RD BOARDMAN, OR   97818-9670",(541) 314-8593,3,4,33.3%,50%,%,0,0,0,0
MC-1729288 -C,MKSDELIVERY LLC,OR,2025-06-10,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4404240&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"16677 NE RUSSELL ST APT 275 PORTLAND, OR   97230","16677 NE RUSSELL ST APT 275 PORTLAND, OR   97230",(503) 405-2693,2,2,0%,0%,0%,0,0,0,0
MC-1729840 -C,TREASURE VALLEY GRAIN LLC,OR,2025-05-09,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4405324&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"255 KING AVE NYSSA, OR   97913","5680 COMMERCIAL ST SE STE 170 SALEM, OR   97306-1256",(208) 472-6198,1,1,0%,0%,0%,0,0,0,0
MC-1737268 -P,C&C CONSTRUCTORS LLC,OR,2025-06-09,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3528714&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1120 HELICOPTER WAY STE 101 CENTRAL POINT, OR   97502","1120 HELICOPTER WAY STE 101 CENTRAL POINT, OR   97502",(541) 608-7123,3,4,100%,0%,%,0,0,0,0
MC-1737695 -B,ASTIR FREIGHT LLC,OR,2025-06-10,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4420159&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"12628 NE HASSALO ST PORTLAND, OR   97230","12628 NE HASSALO ST PORTLAND, OR   97230-2317",(971) 344-8679,0,,0%,0%,0%,0,0,0,0
MC-268155 -P,VICKS TRUCKING COMPANY USA LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2573325&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"11960 SE VALLEY VIEW TER HAPPY VALLEY, OR   97086","11960 SE VALLEY VIEW TER HAPPY VALLEY, OR   97086",(503) 869-6093,1,1,0%,0%,%,0,0,0,0
MC-1103208 -C,MULHORN CATTLE AND HAY LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2984206&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"2360 8TH AVE W VALE, OR   97918","2360 8TH AVE W VALE, OR   97918",(253) 370-3642,1,1,60%,28.6%,%,0,0,0,0
MC-1390403 -C,RENOTECH LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3831951&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1221 NE 51ST AVE  UNIT 1 HILLSBORO, OR   97124","1221 NE 51ST AVE  UNIT 1 HILLSBORO, OR   97124",(956) 333-4339,3,1,25%,60%,%,0,0,0,0
MC-1394125 -C,JB CONTRACTORS LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1959623&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"71628 VALLEY VIEW DR PENDLETON, OR   97801","71628 VALLEY VIEW DR PENDLETON, OR   97801",(541) 276-5480,5,3,0%,0%,0%,0,0,0,0
MC-1541215 -C,JIREH LOGISTICS LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4061539&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"26600 SE HIGHWAY 224 EAGLE CREEK, OR   97022","26600 SE HIGHWAY 224 EAGLE CREEK, OR   97022",(971) 276-1218,1,1,0%,0%,0%,0,0,0,0
MC-1573434 -C,K & M LOGISTICS OF OREGON LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3805591&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"7119 SE QUAIL CANYON RD PRINEVILLE, OR   97754","7119 SE QUAIL CANYON RD PRINEVILLE, OR   97754",(541) 977-6362,8,10,66.7%,0%,%,0,0,0,0
MC-1602453 -C,CRT WORKS LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4167726&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"6577 SALMON RIVER HWY OTIS, OR   97368","PO BOX 270 OTIS, OR   97368-0270",(503) 400-4677,1,1,%,100%,%,0,0,0,0
MC-1620134 -P,DOS HERMANOS TRANSPORT LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4200000&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"18090 NW CORNELL RD APT E90 BEAVERTON, OR   97006","18090 NW CORNELL RD APT E90 BEAVERTON, OR   97006",(971) 378-9834,1,1,0%,0%,%,0,0,0,0
MC-1716638 -C,FALCONWING HAULING INC,OR,2025-06-24,2025-06-24,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4379750&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1895 NW FRONT AVE STE 122 PORTLAND, OR   97209","4784N LOMBARD ST STE B PMB1036 PORTLAND, OR   97203",(541) 583-0687,3,4,0%,0%,0%,0,0,0,0
MC-1723722 -C,LEO TRANSPORT LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4393409&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"14121 SW ALLEN BLVD BEAVERTON, OR   97005","14121 SW ALLEN BLVD BEAVERTON, OR   97005-4408",(971) 430-9805,1,1,0%,0%,0%,0,0,0,0
MC-1710072 -C,MR MARTIN TRANSPORT LLC,OR,2025-03-04,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4331963&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1022 STEPHENS BLVD NYSSA, OR   97913-5369","1022 STEPHENS BLVD NYSSA, OR   97913-5369",(541) 212-8446,1,1,0%,0%,0%,0,0,0,0
MC-1715229 -C,LEON LLC,OR,2025-03-18,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4377056&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"2135 SE 122ND AVE APT 20 PORTLAND, OR   97233","2135 SE 122ND AVE APT 20 PORTLAND, OR   97233-1348",(971) 888-8888,1,1,0%,0%,0%,0,0,0,0
MC-1736365 -C,FRANK'S EXCAVATING LLC,OR,2025-06-04,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1672917&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"24769 NW WEST UNION RD HILLSBORO, OR   97124","PO BOX 1565 HILLSBORO, OR   97123-1565",(503) 476-7294,20,20,0%,0%,%,0,0,0,0
MC-1736942 -C,SPEARS TRANSPORTATION & LOGISTICS LLC,OR,2025-06-06,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4418791&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"20670 NE SKYVIEW DR FAIRVIEW , OR   97024","3439 SE HAWTHORNE BLVD PMB 10 PORTLAND , OR   97214",(971) 678-3085,1,1,0%,0%,0%,0,0,0,0
MC-1737090 -C,SENTINEL EXPRESS INC,OR,2025-06-06,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4419039&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"12655 SW CENTER ST STE 345 BEAVERTON, OR   97005","12655 SW CENTER ST STE 345 BEAVERTON, OR   97005-4724",(503) 343-1763,1,4,0%,0%,0%,0,0,0,0
MC-48643 -C,STEVEN JOURNAGAN,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1564496&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Conditional,"1771 NW NEWELL AVE TERREBONNE, OR   97760","1771 NW NEWELL AVE TERREBONNE, OR   97760",(541) 220-6678,1,1,50%,12.5%,%,0,0,0,0
MC-65141 -C,FREEDOM TRANSPORT LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3078213&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"30522 CAROLYN CT HERMISTON, OR   97838","30522 CAROLYN CT HERMISTON, OR   97838-6697",(541) 720-9590,10,10,60%,0%,%,0,0,0,0
MC-425457 -P,JOHN H. CARPENTER,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2361800&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Conditional,"89377 OLD MOHAWK RD SPRINGFIELD, OR   97478","89377 OLD MOHAWK RD SPRINGFIELD, OR   97478",(541) 741-9682,12,8,0%,0%,%,0,0,0,0
MC-564393 -C,"PDX TRUCK LINES, LLC",OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1503417&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"19390 SE HWY 212 DAMASCUS, OR   97089","19390 SE HWY 212 DAMASCUS, OR   97089",(503) 505-0099,1,2,0%,0%,0%,0,0,0,0
MC-593424 -P,JOSE L GARCIA,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1604576&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"4620 SE 122ND AVE APT 211 PORTLAND, OR   97236","4620 SE 122ND AVE APT 211 PORTLAND, OR   97236",(503) 545-0352,4,3,60%,14.3%,%,0,0,0,0
MC-622659 -P,HECTORS TRUCKING LLC,OR,2025-06-24,2025-06-24,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=907153&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"6347 MT ANGEL HWY NE SILVERTON, OR   97381","6347 MT ANGEL HWY NE SILVERTON, OR   97381",(971) 304-4924,1,1,83.3%,28.6%,%,0,0,0,0
MC-647744 -C,FRONTIER FREIGHT LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1774385&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"7609 N NEWMAN AVE PORTLAND, OR   97203","7609 N NEWMAN AVE PORTLAND, OR   97203",(503) 764-7305,1,1,%,0%,%,0,0,0,0
MC-648221 -P,S & K TRANSPORTATION LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1776606&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"572 FRIENDSHIP DR CHILOQUIN, OR   97624","PO BOX 868 HERMISTON, OR   97838",(541) 499-2443,1,1,0%,0%,%,0,0,0,0
MC-939883 -C,K & M LOGISTICS LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2819062&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"7119 SE QUAIL CANYON RD PRINEVILLE, OR   97754","7119 SE QUAIL CANYON RD PRINEVILLE, OR   97754",(541) 977-6362,9,7,52.2%,4.3%,%,0,0,0,0
MC-942812 -P,CIRCLE FREIGHT LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2825130&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"2074 SW NANCY DRIVE GRESHAM, OR   97080","2074 SW NANCY DRIVE GRESHAM, OR   97080",(971) 293-9050,3,4,25%,6.7%,%,0,0,0,0
MC-1103124 -C,BOWTIE LOGISTICS INC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3416461&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"13233   SE 128TH    AVE CLACKAMAS, OR   97015","PO BOX 9309 BROOKS, OR   97305",(562) 608-9751,1,1,0%,0%,%,0,0,0,0
MC-1176137 -C,RKC TRUCKING LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3531983&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"9703 SE 75TH AVE PORTLAND, OR   97222","9703 SE 75TH AVE PORTLAND, OR   97222-1825",(503) 449-6041,1,2,71.4%,0%,%,0,0,0,0
MC-1237211 -C,MR G TRANSPORTATION LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3621499&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"3254 CENTER ST NE SALEM, OR   97301","3254 CENTER ST NE SALEM, OR   97301",(503) 999-2859,1,1,0%,12.5%,%,0,0,0,0
MC-1397908 -C,TYLER DOUGLAS MIELENZ,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3842558&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"211 GRIMES STREET, UNIT C EUGENE, OR   97402","3923 PAM STREET EUGENE, OR   97402",(541) 556-2133,1,1,0%,0%,0%,0,0,0,0
MC-1416392 -C,EXODUS TRANSPORT LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3869777&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"5544 LANCELOT WAY EUGENE, OR   97402","5544 LANCELOT WAY EUGENE, OR   97402-7577",(541) 510-1910,1,2,0%,0%,0%,0,0,0,0
MC-1654347 -C,PNW TRANSPORT SERVICE LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4263018&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"3655 NW ORCHARD DR TERREBONNE, OR   97760","3655 NW ORCHARD DR TERREBONNE, OR   97760",(541) 903-2095,1,1,100%,0%,%,0,0,0,0
MC-1660723 -C,MD PRIME SERVICES LLC,OR,2025-06-25,2025-06-25,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4274746&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"18850 SW FARMINGTON RD APT 44 BEAVERTON , OR   97007","2850 SW CEDAR HILLS BLVD #2267 BEAVERTON, OR   97005",(407) 462-9290,1,1,0%,0%,0%,0,0,0,0
MC-1725788 -C,VH TRANSPORTATION LLC,OR,2025-04-24,2025-06-24,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4359883&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"21728 SE ANKENY ST GRESHAM, OR   97030-8497","21728 SE ANKENY ST GRESHAM, OR   97030-8497",(971) 420-7595,1,1,0%,0%,0%,0,0,0,0
MC-1731717 -C,NMP DELIVERY LLC,OR,2025-05-19,2025-06-24,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4394900&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"17661 NE DAVIS ST PORTLAND, OR   97230","17661 NE DAVIS ST PORTLAND, OR   97230",(503) 970-1020,3,3,0%,0%,0%,0,0,0,0
MC-404085 -C,LITTAU HARVESTER INC.,OR,2025-06-24,2025-06-24,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=499433&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"855 ROGUE AVE STAYTON, OR   97383","855 ROGUE AVE STAYTON, OR   97383",(503) 769-5953,4,2,50%,0%,%,0,0,0,0
MC-681941 -P,GABRIEL COBIAN,OR,2025-06-24,2025-06-24,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=1499682&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"3036 GREENLEAF ST MALIN, OR   97632","PO BOX 158 MALIN, OR   97632",(541) 810-1557,1,1,11.1%,0%,%,0,0,0,0
MC-1346341 -C,OATB TRANSPORT LLC,OR,2025-06-24,2025-06-24,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3771324&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"19025 SE YAMHILL ST APT 207 PORTLAND, OR   97233","19025 SE YAMHILL ST APT 207 PORTLAND, OR   97233",(971) 401-2996,3,3,0%,0%,%,0,0,0,0
MC-1721118 -C,MAYFIELD HEATING OIL LLC,OR,2025-04-08,2025-07-08,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4388147&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"2883 SW SHIMMER LN GRANTS PASS, OR   97527","2883 SW SHIMMER LN GRANTS PASS, OR   97527",(541) 450-8034,1,1,0%,0%,0%,0,0,0,0
MC-1735858 -C,ROAD DOGGIES LLC,OR,2025-06-03,2025-07-08,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4416802&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1550 SW 2ND ST MCMINNVILLE, OR   97128","1550 SW 2ND ST MCMINNVILLE, OR   97128",(503) 929-8186,2,2,0%,0%,0%,0,0,0,0
MC-107855 -C,AESIR TRANSPORT INC,OR,2025-07-08,2025-07-08,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3156070&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"7765 SW PETERS RD PORTLAND, OR   97224","7765 SW PETERS RD PORTLAND, OR   97224",(503) 501-9067,4,4,75%,0%,%,0,0,0,0
MC-794118 -B,"JNB LOGISTICS, INC",OR,2025-07-08,2025-07-08,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2331142&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"29720 AWBREY LANE EUGENE, OR   97402","PO BOX 41088 EUGENE, OR   97404",(541) 344-4930,0,,0%,0%,0%,0,0,0,0
MC-817275 -C,MICHAEL A RAMIREZ,OR,2025-07-08,2025-07-08,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2379868&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Conditional,"2194 NW DAWN DR HERMISTON, OR   97838","2194 NW DAWN DR HERMISTON, OR   97838",(541) 720-6001,1,1,100%,25%,%,0,0,0,0
